userName,score,at,content
Firman tampan,5,2025-12-11 12:02:39,pengaduan listrik mati gampang pake aplikasi
Faizal Yuniar,5,2025-12-11 12:00:44,bagus
Nia Daniati,5,2025-12-11 12:00:22,aplikasi sangat bermanfaat
Akila Kila,5,2025-12-11 11:58:52,dengan aplikasi plnmoie sangat membantu kami dalam melaporkan ganguan terimakasih pln mobil
indra apriyansah,5,2025-12-11 11:57:54,"Apk pln mobile sangat membantu, pelaporan samgat cepat"
yenk dayenk,5,2025-12-11 11:56:40,sangat membantu
Agus Salim,1,2025-12-11 11:56:18,"pengajuan gangguan listrik padam via aplikasi dah nunggu ber jam2 gak ada respon, telp 123 udh 3x bolak balik nelp cuma di suruh nunggu terus, di chat juga sama suruh nunggu, padahal laporan dari jam 2 siang, jam 8 mlm belum ad yg dtg melakukan perbaikan. dan sampai ulasan ini saya ketik, belum ada yg datang."
Nazmi Billman,5,2025-12-11 11:55:46,aplikasi sangat bermanfaat
Arman Silegar,5,2025-12-11 11:53:59,hebat
Reza Rahmat Akbar,5,2025-12-11 11:53:19,petugas ulp perawang sangat ramah dan cepat pelayananya semangatt terus ulp perawang
Siti Sulaihah,1,2025-12-11 11:51:10,"aplikasinya tidak efektif susah untuk dipakai harus perbaikan sih aplikasinya masak ini gak bisa itu gak bisa banyak gak bisanya butuh perbaikan, mending kalo mau pasang kwh langsung ke plnnya saja"
Adit Work,5,2025-12-11 11:51:10,"baru mau cobain, semoga bagus harganya"
Rudhi Anto,5,2025-12-11 11:49:12,"Makin mudah mengurus permasalahan PLN dengan aplikasi PLN Mobile, pelanggan sangat dimanjakan, mantap 👍👍"
Reski Hidayat,5,2025-12-11 11:47:54,"aplikasi ini sangat membantu saya dalam bayar tagihan listrik,swacam dll.. ketika ada kerusakan bisa langsung lapor,dan akan di perbaiki oleh pihak terkait, ketika ada kerusakan listrik di aplikasi PLN mobile..pelayanan cepat dan gratis tanpa di pungut biaya"
cinthia hadi,5,2025-12-11 11:47:16,aplikasi PLN mobile sangat membantu buat pelanggan PLN
hanoto,5,2025-12-11 11:46:48,Respon dan pelayanannya sekarang semakin baik... 👍
wahyu hidayat,5,2025-12-11 11:46:21,adanya aplikasi sangat membantu dan mempermudah konsumen
Dika Achmad,2,2025-12-11 11:44:28,"tolong permudah lagi penggunaannya, ketika user sudah memasukkan nomor meter tidak perlu di pinta lagi"
Hera Agus,5,2025-12-11 11:43:39,"mantap dengan PLN Mobile semua tentang kelistrikan bisa diatasi, terima kasih PLN"
Novi Cl,5,2025-12-11 11:43:39,"aplikasi bagus, bisa lapor dan tracking pengaduan."
Fajar Kurniawan,5,2025-12-11 11:41:34,dengan aplikasi ini segala kemudahan di tangan konsumen
Moh. Khodir,5,2025-12-11 11:41:23,pln mobail....smakin ok..
Adi Razka,5,2025-12-11 11:40:52,suka sekali sangat membantu 👍👍🔥
Adi Wijaya,5,2025-12-11 11:39:03,PLN amazing !!!
Saye Ahmad,5,2025-12-11 11:37:48,"Aplikasinya cukup bagus dan fungsinya bekerja seperti yang dijanjikan. Tapi terkadang terasa agak lambat saat membuka menu tertentu. Ul-nya oke, cuma masih bisa disederhanakan lagi. Kalau performanya ditingkatkan, pasti lebih nyaman dipakai"
Arifin Imam,5,2025-12-11 11:37:36,aplikasi yang sangat membantu untuk kita sebagai pelanggan pln
Dki Riski,5,2025-12-11 11:37:27,"Apk pln mobile sangat membantu, pelaporan sangat cepat"
Priya,3,2025-12-11 11:36:36,Kalo beli token.Nomor token suka tidak dikirim ke email.
Jalal Ludin,5,2025-12-11 11:36:27,bagussss
kpl laud,5,2025-12-11 11:36:14,mempermudah pelanggan
Raihan Ramadhoni,5,2025-12-11 11:35:47,"teknologinya di tingkatkan dong, jadi kalau kita topup token melalui aplikasi langsung masuk kemeteran kitanya, jadi tidak perlu memasukan secara manual Strom tokennya, sehingga ketika kita lagi tidak ada ditempat listriknya bisa otomatis hidup langsung min. sempat punya problem ketika pembelian token, lapor ke cs sama via email, proses penanganannya cepat tapi memang harus menunggu 1x24 jam... terima kasih PLN yg sudah fast respon."
email saya,5,2025-12-11 11:35:37,aplikasi sangat membantu
Fahrul hasbullah Fahrul,5,2025-12-11 11:35:27,semangatt terus petugas pln 👍
Muhammad Daffa Almarzali,5,2025-12-11 11:35:21,"Aplikasinya cukup bagus dan fungsinya bekerja seperti yang dijanjikan. Tapi terkadang terasa agak lambat saat membuka menu tertentu. Ul-nya oke, cuma masih bisa disederhanakan lagi. Kalau performanya ditingkatkan, pasti lebih nyaman dipakai"
Andre Trisaputra,5,2025-12-11 11:34:59,"Apk pln mobile sangat membantu, pelaporan samgat cepat"
abdur rahman,5,2025-12-11 11:33:31,Aplikasi PLN Mobile pancen mantap
